date,guess,color,answer,words
10-23-2024,1,"b,b,b,b",blue ___,"jay,jeans,moon,whale"
10-23-2024,2,"g,g,g,g",green ___,"beret,goblin,salad,thumb"
10-23-2024,3,"y,y,y,y",yellow ___,"cab,jacket,journalism,pages"
10-23-2024,4,"p,p,p,p",purple ___,"haze,heart,prose,rain"
10-24-2024,1,"y,y,y,y",lineup,"bill,program,schedule,slate"
10-24-2024,2,"g,g,g,g",NYT offerings,"audio,cooking,games,news"
10-24-2024,3,"b,b,b,b",things made by folding paper,"airplane,crane,fan,fortune teller"
10-24-2024,4,"p,p,p,p",french words,"adieu,belle,pain,temps"
10-25-2024,1,"p,p,p,p",pan,"bad review,camera movement,cookware,satyr"
10-25-2024,2,"b,b,b,b",iphone message tapback,"exclamation points,heart,question mark,thumbs up"
10-25-2024,3,"y,g,y,y",,"period,ball,dot,point"
10-25-2024,4,"y,y,y,y",•,"dot,period,point,tittle"
10-25-2024,5,"g,g,g,g",event with dancing,"ball,formal,hop,rave"
10-26-2024,1,"b,b,b,b",places to lie/sit that move,"cradle,hammock,rocker,swing"
10-26-2024,2,"g,g,g,g",series of messages,"chain,chat,conversation,thread"
10-26-2024,3,"p,p,p,p",cylinder-shaped things,"can,roller,silo,spool"
10-26-2024,4,"y,y,y,y",fluster,"faze,rattle,ruffle,throw"
10-27-2024,1,"p,p,p,p",,"prince,mermaid,tramp,rascals"
10-27-2024,2,"y,y,y,y",,"fresh,cute,wise,smart"
10-27-2024,3,"b,g,b,b",,"bel,air,bar,lux"
10-27-2024,4,"g,g,g,g",,"air,quality,mood,feeling"
10-27-2024,5,"b,b,b,b",,"bel,bar,lux,mole"
10-28-2024,1,"y,y,y,y",audio apps,"shazam,audible,tidal,pandora"
10-28-2024,2,"b,p,p,g",,"love,please,thank you,signify"
10-28-2024,3,"b,b,b,b",church of england wedding vow verbs,"love,hold,have,cherish"
10-28-2024,4,"g,g,g,g",indicate,"spell,mean,signify,suggest"
10-28-2024,5,"p,p,p,p",magic words,"please,presto,thank you,abracadabra"
10-29-2024,1,"g,g,b,g",,"fellow,resident,countryman,intern"
10-29-2024,2,"y,y,p,y",,"new,original,perfect,mint"
10-29-2024,3,"y,p,y,y",,"original,perfect,mint,unused"
10-29-2024,4,"y,y,y,y",in prestine condition,"new,original,mint,unused"
10-29-2024,5,"g,g,g,g",medical roles,"fellow,attending,resident,intern"
10-29-2024,6,"p,p,p,p",___ square,"times,town,pocket,perfect"
10-29-2024,7,"b,b,b,b","singular noun in a famous ""julius caesar"" line","roman,ear,friend,countryman"
10-30-2024,1,"g,g,g,g",things with wheels,"dolly,rollerblade,skateboard,wagon"
10-30-2024,2,"y,y,y,y",upswing,"boom,rise,spike,surge"
10-30-2024,3,"b,b,b,b",kinds of tape,"duct,electrical,gaffer,packing"
10-30-2024,4,"p,p,p,p",retail chains with a letter changed,"best boy, idea, kroner, stables"
10-31-2024,1,"p,p,y,p",,"witch,job,treasure,scavenger"
10-31-2024,2,"p,p,p,p",___ hunt,"egg,witch,job,scavenger"
10-31-2024,3,"g,g,g,g",things you can do with your eyelids,"bat,blink,flutter,wink"
10-31-2024,4,"y,y,y,y",terms of endearment,"love,pumpkin,treasure,darling"
10-31-2024,5,"b,b,b,b",sports cars,"spider,diablo,viper,mustang"
11-01-2024,1,"p,p,p,p",___ effect,"domino,butterfly,halo,placebo"
11-01-2024,2,"b,b,g,g",,"ball,curl,bottle,can"
11-01-2024,3,"y,y,y,y",progress slowly,"drag,crawl,inch,creep"
11-01-2024,4,"b,b,b,g",,"ball,curl,puff,bottle"
11-01-2024,5,"g,g,g,g",ways to order a beer,"draft,bottle,tap,can"
11-01-2024,6,"b,b,b,b",cheesy corn snack unit,"doodle,ball,curl,puff"
11-02-2024,1,"g,g,g,g",group of advisors,"board,panel,cabinet,council"
11-02-2024,2,"y,y,y,y",seen in a kitchen,"sink,range,counter,fridge"
11-02-2024,3,"p,b,b,b",,"drop,plank,crunch,mountain climber"
11-02-2024,4,"b,b,b,p",,"plank,crunch,mountain climber,hoop"
11-02-2024,5,"p,p,p,p",kinds of earrings,"drop,stud,chandelier,hoop"
11-02-2024,6,"b,b,b,b",core exercises,"plank,boat,crunch,mountain climber"
11-03-2024,1,"g,g,g,g",sneaking suspicion,"feeling,hunch,impression,sense"
11-03-2024,2,"b,b,b,b",legal session,"hearing,inquiry,proceeding,trial"
11-03-2024,3,"y,y,y,y",heartwarming,"moving,sweet,tender,touching"
11-03-2024,4,"p,p,p,p",easy ___,"chair,listening,money,street"
11-04-2024,1,"b,b,b,b",furniture,"chest,console,vanity,wardrobe"
11-04-2024,2,"y,y,y,y",equip,"furnish,outfit,provision,stock"
